  0-th token(type:28) on line 1 : PROGRAM
 86-th token(type:69) on line 11 : 57
Lexical analyzer error at line 11 :  
 87-th token(type:57) on line 11 : ]
 88-th token(type:21) on line 11 : of
 89-th token(type:2) on line 11 : array
 90-th token(type:50) on line 11 : [
 91-th token(type:69) on line 11 : 23
Lexical analyzer error at line 11 :  
 92-th token(type:46) on line 11 : ..
 93-th token(type:69) on line 11 : 57
Lexical analyzer error at line 11 :  
 94-th token(type:57) on line 11 : ]
 95-th token(type:21) on line 11 : of
 96-th token(type:70) on line 11 : integer
 97-th token(type:60) on line 11 : ;
 98-th token(type:36) on line 12 : var
 99-th token(type:39) on line 12 : kkr
100-th token(type:43) on line 12 : ,
101-th token(type:39) on line 12 : iir
102-th token(type:42) on line 12 : :
103-th token(type:2) on line 12 : array
104-th token(type:50) on line 12 : [
105-th token(type:69) on line 12 : 23
Lexical analyzer error at line 12 :  
106-th token(type:46) on line 12 : ..
107-th token(type:69) on line 12 : 57
Lexical analyzer error at line 12 :  
108-th token(type:57) on line 12 : ]
109-th token(type:21) on line 12 : of
110-th token(type:2) on line 12 : array
111-th token(type:50) on line 12 : [
112-th token(type:69) on line 12 : 23
Lexical analyzer error at line 12 :  
113-th token(type:46) on line 12 : ..
114-th token(type:69) on line 12 : 57
Lexical analyzer error at line 12 :  
115-th token(type:57) on line 12 : ]
116-th token(type:21) on line 12 : of
117-th token(type:68) on line 12 : real
118-th token(type:60) on line 12 : ;
119-th token(type:36) on line 14 : var
120-th token(type:39) on line 14 : aVeryLongIdentifierGASDFDFGHJERYUKDVBNFBNDFGHwertyuioplkjhgfdsazxcvbnm
121-th token(type:42) on line 14 : :
122-th token(type:70) on line 14 : integer
123-th token(type:60) on line 14 : ;
124-th token(type:36) on line 15 : var
125-th token(type:39) on line 15 : a_wrong_identifier_aadgnm
126-th token(type:42) on line 15 : :
127-th token(type:70) on line 15 : integer
128-th token(type:60) on line 15 : ;
129-th token(type:66) on line 17 : //this is a very long comment and includes letter and symbol qwertyui~@%hopasdfghjkl;.,mnbvcxz`1234567890p;mdsf4577846799tj,vsffdfger~!@#$%^&*()POIUYEP{{}_+|_{"?><MZXCVB
130-th token(type:25) on line 19 : begin
131-th token(type:39) on line 20 : a
132-th token(type:40) on line 20 : :=
133-th token(type:69) on line 20 : 1
134-th token(type:60) on line 20 : ;
135-th token(type:39) on line 21 : bb
136-th token(type:40) on line 21 : :=
137-th token(type:69) on line 21 : 354
138-th token(type:56) on line 21 : +
139-th token(type:69) on line 21 : 126
140-th token(type:62) on line 21 : *
141-th token(type:52) on line 21 : (
142-th token(type:69) on line 21 : 920
143-th token(type:54) on line 21 : -
144-th token(type:69) on line 21 : 27
145-th token(type:61) on line 21 : /
146-th token(type:69) on line 21 : 190
147-th token(type:59) on line 21 : )
148-th token(type:60) on line 21 : ;
149-th token(type:39) on line 22 : cc
150-th token(type:40) on line 22 : :=
151-th token(type:69) on line 22 : 10
152-th token(type:46) on line 22 : ..
153-th token(type:69) on line 22 : 20
154-th token(type:60) on line 22 : ;
155-th token(type:39) on line 23 : gg
156-th token(type:40) on line 23 : :=
157-th token(type:69) on line 23 : 10.3E+5
158-th token(type:60) on line 23 : ;
159-th token(type:39) on line 24 : hh
160-th token(type:40) on line 24 : :=
161-th token(type:69) on line 24 : 10.3
162-th token(type:39) on line 24 : E
163-th token(type:56) on line 24 : +
164-th token(type:39) on line 24 : BC
165-th token(type:60) on line 24 : ;
166-th token(type:39) on line 25 : mm
167-th token(type:40) on line 25 : :=
168-th token(type:69) on line 25 : 10.3E+2
169-th token(type:45) on line 25 : .
170-th token(type:69) on line 25 : 34
171-th token(type:60) on line 25 : ;
172-th token(type:39) on line 26 : pp
173-th token(type:40) on line 26 : :=
174-th token(type:69) on line 26 : 10.3
175-th token(type:39) on line 26 : EBC
176-th token(type:60) on line 26 : ;
177-th token(type:39) on line 27 : rr
178-th token(type:40) on line 27 : :=
179-th token(type:69) on line 27 : 10.3E+5
180-th token(type:56) on line 27 : +
181-th token(type:69) on line 27 : 123
182-th token(type:60) on line 27 : ;
183-th token(type:39) on line 28 : str
184-th token(type:40) on line 28 : :=
Lexical analyzer error at line 28 : '
185-th token(type:39) on line 28 : This
186-th token(type:39) on line 28 : is
187-th token(type:39) on line 28 : a
188-th token(type:39) on line 28 : srting
Lexical analyzer error at line 28 : !
Lexical analyzer error at line 28 : !
Lexical analyzer error at line 28 : '
189-th token(type:60) on line 28 : ;
190-th token(type:39) on line 29 : str2
191-th token(type:40) on line 29 : :=
192-th token(type:67) on line 29 : "  This is a srting,too!!  "
193-th token(type:60) on line 29 : ;
194-th token(type:39) on line 30 : str3
195-th token(type:40) on line 30 : :=
196-th token(type:67) on line 30 : ""
197-th token(type:60) on line 30 : ;
198-th token(type:39) on line 31 : str4
199-th token(type:40) on line 31 : :=
200-th token(type:67) on line 31 : "adc"
201-th token(type:67) on line 31 : "def"
202-th token(type:60) on line 31 : ;
203-th token(type:39) on line 32 : str4
204-th token(type:40) on line 32 : :=
Lexical Analyzer Sting Error at line 32 : "cross 
205-th token(type:39) on line 33 : line
206-th token(type:39) on line 33 : string
Lexical Analyzer Sting Error at line 33 : ";
207-th token(type:39) on line 34 : incorrect_symbols
208-th token(type:40) on line 34 : :=
Lexical analyzer error at line 34 : ~
Lexical analyzer error at line 34 : !
Lexical analyzer error at line 34 : @
Lexical analyzer error at line 34 : #
Lexical analyzer error at line 34 : $
Lexical analyzer error at line 34 : %
Lexical analyzer error at line 34 : ^
Lexical analyzer error at line 34 : &
209-th token(type:62) on line 34 : *
210-th token(type:52) on line 34 : (
211-th token(type:59) on line 34 : )
Lexical analyzer error at line 34 : _
212-th token(type:56) on line 34 : +
Lexical analyzer error at line 34 : |
Lexical analyzer error at line 34 : `
213-th token(type:54) on line 34 : -
214-th token(type:47) on line 34 : =
Lexical analyzer error at line 34 : \
215-th token(type:43) on line 34 : ,
216-th token(type:45) on line 34 : .
217-th token(type:61) on line 34 : /
218-th token(type:60) on line 34 : ;
219-th token(type:50) on line 34 : [
220-th token(type:57) on line 34 : ]
Lexical analyzer error at line 34 : '
221-th token(type:53) on line 34 : <
222-th token(type:49) on line 34 : >
Lexical analyzer error at line 34 : ?
223-th token(type:42) on line 34 : :
224-th token(type:9) on line 35 : end
225-th token(type:45) on line 35 : .
226-th token(type:66) on line 35 : // this is the end of the program
